Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[geographical location]	Term Source REF	Term Accession Number	Characteristics[latitude]	Unit	Term Source REF	Term Accession Number	Characteristics[longitude]	Unit	Term Source REF	Term Accession Number	Characteristics[altitude]	Unit	Term Source REF	Term Accession Number	Protocol REF	Comment[accession ID]	Sample Name	Factor Value[seed collection location]	Factor Value[strain origin]
Arabidopsis seeds from Ellershausen, Germany	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Germany	GAZ	GAZ:00002646	51.51	degree	UO	UO:0000185	9.682	degree	UO	UO:0000185	492.7	meter	UO	UO:0000008	Plant material and sample preparation	CS76479	El-0	Ellershausen, Germany	wild type
Arabidopsis seeds from Holtensen, Germany	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Germany	GAZ	GAZ:00002646	52.14	degree	UO	UO:0000185	9.38	degree	UO	UO:0000185	260.3	meter	UO	UO:0000008	Plant material and sample preparation	CS28349	HI-3	Holtensen, Germany	wild type
Arabidopsis seeds from Hannover Stroehen, Germany	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Germany	GAZ	GAZ:00002646	52.5	degree	UO	UO:0000185	9.5	degree	UO	UO:0000185	39.1	meter	UO	UO:0000008	Plant material and sample preparation	CS76145	Hs-0	Hannover/Stroehen, Germany	wild type
Arabidopsis seeds from Koeln, Germany	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Germany	GAZ	GAZ:00002646	50.95	degree	UO	UO:0000185	6.97	degree	UO	UO:0000185	414.1	meter	UO	UO:0000008	Plant material and sample preparation	CS28389	Kl-0	Koeln, Germany	wild type
Arabidopsis seeds from Landsberg, Germany	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Germany	GAZ	GAZ:00002646	47.98	degree	UO	UO:0000185	10.87	degree	UO	UO:0000185	66.5	meter	UO	UO:0000008	Plant material and sample preparation	CS77020	Laer-0	Landsberg, Germany	wild type
Arabidopsis seeds from Niederzenz, Germany	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Germany	GAZ	GAZ:00002646	47.4	degree	UO	UO:0000185	8.18	degree	UO	UO:0000185	49.1	meter	UO	UO:0000008	Plant material and sample preparation	CS28528	Nd	Niederzenz, Germany	wild type
Arabidopsis seeds from Nossen, Germany	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Germany	GAZ	GAZ:00002646	51.06	degree	UO	UO:0000185	13.3	degree	UO	UO:0000185	417.7	meter	UO	UO:0000008	Plant material and sample preparation	CS28564	No-0	Nossen, Germany	wild type
Arabidopsis seeds from Neuweilnau, Germany	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Germany	GAZ	GAZ:00002646	50.31	degree	UO	UO:0000185	8.4	degree	UO	UO:0000185	457.8	meter	UO	UO:0000008	Plant material and sample preparation	CS28576	Nw-3	Neuweilnau, Germany	wild type
Arabidopsis seeds from Oldenburg, Germany	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Germany	GAZ	GAZ:00002646	53.17	degree	UO	UO:0000185	8.2	degree	UO	UO:0000185	9.3	meter	UO	UO:0000008	Plant material and sample preparation	CS28583	Old-1	Oldenburg, Germany	wild type
Arabidopsis seeds from Poppelsdorf, Germany	Arabidopsis thaliana	NCBITAXON	NCBITaxon:3702	flower	BTO	BTO:0000469	Germany	GAZ	GAZ:00002646	50.72	degree	UO	UO:0000185	7.09	degree	UO	UO:0000185	72.1	meter	UO	UO:0000008	Plant material and sample preparation	CS28648	Po-0	Poppelsdorf, Germany	wild type
